phase,hip_x,hip_y,knee_x,knee_y,ankle_x,ankle_y,hip_q,knee_q,passive_ankle_q,toe_x_sim,toe_y_sim
0.57,0.0,1.0892,-0.1733054529784192,0.497664557301978,-0.6422168361756351,0.1937245061272871,-0.285,0.7106999999999998,0.09988210195134727,-0.49162064151878593,0.005570882311862313
0.58,0.0,1.0892,-0.1762609515546206,0.4985384751339734,-0.6623060659404439,0.2228256049561888,-0.29,0.7647999999999998,0.08267931930401622,-0.5264907708928132,0.023739679710015282
0.59,0.0,1.0892,-0.1792120436162133,0.499427159473327,-0.6806937200317331,0.2529042026934769,-0.295,0.8189,0.06586490750831907,-0.5603685672964086,0.044091229870376586
0.6,0.0,1.0892,-0.1821586553860496,0.5003305881029765,-0.6973258233857851,0.2838583519729535,-0.3,0.873,0.3627568760870759,-0.5311991440142522,0.10926474842176984
0.61,0.0,1.0892,-0.1644132575749955,0.4951316194800651,-0.6888740595244973,0.3022629926417809,-0.27,0.9484,0.34893869576598635,-0.5333716546692364,0.11814346058656808
0.62,0.0,1.0892,-0.1465198989296857,0.490467272301209,-0.6791935228654074,0.3215997195766388,-0.24,1.0238,0.33642096053631054,-0.5346096841512594,0.12878759967054665
0.63,0.0,1.0892,-0.1284946822651357,0.486341744164035,-0.6682833911907643,0.3418232688177909,-0.21,1.0992,0.31899928621233936,-0.5360895777216466,0.14031447079524278
0.64,0.0,1.0892,-0.110353829059678,0.4827587477654019,-0.6561452231691162,0.3628871743375206,-0.18,1.1746,0.303967130907588,-0.5363629252819111,0.15376232858058797
0.65,0.0,1.0892,-0.0921136648567265,0.4797215075602236,-0.6427829739742781,0.3847438681075689,-0.15,1.25,0.2917837154165856,-0.5352346802768374,0.16907197721130712
0.66,0.0,1.0892,-0.0615373180211048,0.4758794325226249,-0.6101970707931794,0.3699081359933951,-0.0999999999999999,1.2800000000000002,0.28127594002532824,-0.5006064469478642,0.15526681852354124
0.67,0.0,1.0892,-0.0308071599384459,0.4735703394925428,-0.5772378997793006,0.3566477729924175,-0.0499999999999997,1.31,0.27130733663046586,-0.46549967380867974,0.14311658356815926
0.68,0.0,1.0892,2.0530244171368392e-16,0.4728,-0.5439831618993443,0.3449729309966328,3.3306690738754696e-16,1.34,0.2617417605542759,-0.43002298422573443,0.13261926866749077
0.69,0.0,1.0892,0.030807159938446,0.4735703394925428,-0.5105108380076405,0.3348898971091968,0.0499999999999999,1.37,0.2523487807500199,-0.3943046736911282,0.12375693574398566
0.7,0.0,1.0892,0.0615373180211048,0.4758794325226249,-0.4768989959900225,0.3264010870872054,0.1,1.4,0.24315711185104608,-0.35841766868813685,0.11653642812628498
